what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1454207991766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454207999898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208029436
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1454208031976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208051328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208060956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208066776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208070682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208083336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208085026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208090766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208094706
error,log,,,"Can't find bundle for base name feature, locale en_US",1454208100906
error,log,,,"Can't find bundle for base name feature, locale en_US",1454208102606
started,bundle,org.eclipse.acceleo.ide.ui,3.0.1.v201009150438,"org.eclipse.acceleo.ide.ui",1454208104216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208104306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208104336
started,bundle,org.eclipse.acceleo.parser,3.0.1.v201009150438,"org.eclipse.acceleo.parser",1454208104436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208107822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208107982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208117836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208119536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1454208119546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208129446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208141266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1454208149335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1454208155225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208177949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208183469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1454208183479
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454208190039
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454208190089
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454208190089
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1454208191419
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454208191419
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454208193199
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454208193269
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1454208197909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208202549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208208785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208214070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208225990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1454208235080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208251316
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454208253156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208253206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1454208253226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208259306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208268784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208272774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208279109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208283299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208285369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208293506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1454208306194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1454208311194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208315164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208321064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208322954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1454208322974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208328231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208333314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208337194
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1454208340544
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1454208340574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208340984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1454208354199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208358979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208360623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1454208360633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208366985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208375515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208380765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208389515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208398851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208405511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208409661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208411661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1454208416703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1454208420773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208426536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208428336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1454208428336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208439318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208440948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1454208440958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1454208443938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1454208447568
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454208454574
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454208454684
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1454208459956
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1454208460166
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1454208460166
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1454208460186
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1454208460186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208462356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208526243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1454208526263
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454208543345
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1454208544985
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1454208545025
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1454208545045
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1454208545125
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1454208545125
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1454208545215
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1454208545215
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1454208545445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454208545485
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1454208551734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208554605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208570855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1454208570875
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454208580713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208610683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208610883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454208628876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1454208643572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208645942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208704977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454208715437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208727679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208810521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1454208814171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208820552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208820722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208828212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208834836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208858212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208870605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454208880899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208896083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454208896313
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1454208977572
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1454208984387
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454208984657
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454208984747
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1454209102401
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1454209121241
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454209121481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454209140022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454209143762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454209170299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454209179689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454209189079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454209378365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454209451570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454209488650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454209501124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454209560973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1454209564455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454209568815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454209568955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454209591529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454209609467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454209616902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454209619502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454209650046
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1454209677441
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454209677701
started,bundle,de.bastiankrol.startexplorer,1.5.1.201310182147,"de.bastiankrol.startexplorer",1454210452590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454210461309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454211521992
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454211631850
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454211631930
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454211658152
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454211735290
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454211878823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454211916441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454211922837
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1454211926067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454211933636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212006274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212012206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212036670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1454212036680
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454212036760
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454212036850
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1454212046722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212049365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212051913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1454212051933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212055913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212081310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1454212081330
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454212084191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1454212091068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1454212093508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454212101490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212103660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212103860
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454212106920
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454212154125
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454212157435
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1454212164847
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454212167367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1454212168727
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454212178257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1454212190383
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454212193043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1454212198473
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454212208555
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454212210565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454212212940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212216733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212216923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212232665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212232805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212232895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212234967
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1454212235217
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1454212242269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212247062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212256662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1454212256692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1454212261042
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454212269642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454212283823
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454212297404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1454212316100
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454212318910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1454212322302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454212326842
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1454212337702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1454212338892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212344714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454212347164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1454212347254
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454212355184
opened,editor,org.sf.feeling.decompiler,1.0.3.201211040213,"net.sf.feeling.decompiler.ClassFileEditor",1454212359347
activated,editor,org.sf.feeling.decompiler,1.0.3.201211040213,"net.sf.feeling.decompiler.ClassFileEditor",1454212359467
